DEPTH,NPHI,RHOB,GR,RT,PEF,CALI,DT
3835.5,0.2205,2.1982,40.1317,5.1631,5.7915,8.6383,90.37914079662089
3835.6,0.2202,2.2,39.2311,5.2355,5.9585,8.6383,89.39664862554189
3835.7,0.2167,2.2023,40.5295,5.2728,6.0514,8.6384,88.45141750063551
3835.8,0.2152,2.2041,39.7692,5.2968,6.0626,8.6871,88.09376467186081
3835.9,0.2137,2.2046,39.9646,5.3211,5.9994,8.6871,87.61235341270049
3836.0,0.2136,2.2034,39.6418,5.3326,5.8804,8.687,87.69517323276885
3836.1,0.2172,2.2019,39.8775,5.3308,5.7521,8.6383,88.72842367810156
3836.2,0.2164,2.2021,41.2811,5.3282,5.6629,8.6383,88.72842367810156
3836.3,0.2136,2.2048,40.308,5.3255,5.6545,8.6383,87.78812556099645
3836.4,0.2118,2.2084,39.2563,5.3317,5.7153,8.6384,86.05612803505392
3836.5,0.2101,2.2115,37.967,5.3424,5.8028,8.6871,85.36877835175925
3836.6,0.2142,2.2134,38.3319,5.3513,5.8831,8.6871,84.94236331886177
3836.7,0.2182,2.2145,39.9264,5.3719,5.9427,8.6871,85.83432652124294
3836.8,0.2198,2.2149,40.1056,5.3883,5.9681,8.6871,86.41737590800486
3836.9,0.2191,2.2137,39.0916,5.4301,5.9456,8.6871,86.49708968507973
3837.0,0.2171,2.2098,39.0199,5.4828,5.8866,8.687,86.94526993337664
3837.1,0.2182,2.205,39.0686,5.5455,5.8284,8.6383,88.57512716772911
3837.2,0.2176,2.2019,37.9473,5.6123,5.785,8.6383,88.52245448546488
3837.3,0.218,2.2017,38.3291,5.7121,5.7314,8.6383,88.54452387241246
3837.4,0.2181,2.203,37.6925,5.8734,5.637,8.6383,87.13176745524075
3837.5,0.2165,2.2043,38.1841,6.1329,5.5197,8.6382,88.300139238473
3837.6,0.215,2.2059,39.8168,6.3992,5.4329,8.6057,87.48435405436625
3837.7,0.211,2.2084,38.1091,6.7001,5.4012,8.6057,84.899157307683
3837.8,0.2063,2.2119,38.7279,6.959,5.3979,8.6057,84.06516937249063
3837.9,0.1996,2.2162,39.3193,7.1582,5.3898,8.6057,82.69097160655879
3838.0,0.1896,2.2226,39.3173,7.652,5.3807,8.6057,80.36180382471026
3838.1,0.1779,2.2332,39.2234,8.3077,5.4016,8.6057,76.73002294012176
3838.2,0.1682,2.2514,39.3173,9.3102,5.4649,8.6057,75.54648321812603
3838.3,0.1627,2.2754,41.8863,11.8929,5.5244,8.6056,73.24466997815479
3838.4,0.1653,2.2986,42.2223,16.7267,5.5279,8.5569,72.19511086189267
3838.5,0.1688,2.3129,43.2006,20.3435,5.4762,8.5569,72.76568774275535
3838.6,0.1743,2.3152,43.9708,24.9939,5.41,8.5569,71.2410457294996
3838.7,0.1785,2.3084,44.2929,27.9411,5.3751,8.5569,72.24572016742067
3838.8,0.1791,2.2994,44.0477,29.6563,5.375,8.5569,72.24572016742067
3838.9,0.1757,2.2964,43.3863,34.1769,5.3665,8.5569,73.28992603713873
3839.0,0.171,2.3012,41.6778,47.9087,5.3083,8.557,72.7972933659904
3839.1,0.1642,2.307,42.2325,55.4867,5.1943,8.6056,71.11341249338724
3839.2,0.1659,2.3071,44.1035,85.5858,5.0592,8.557,71.59359814264961
3839.3,0.1616,2.3006,43.2605,102.5498,4.9482,8.6057,71.65834638003899
3839.4,0.1582,2.2913,42.821,139.1984,4.91,8.6056,73.8250310006667
3839.5,0.1547,2.2854,41.6432,313.0392,4.9615,8.5812,73.19952760562268
3839.6,0.1462,2.2866,41.1016,318.0179,5.0958,8.5569,70.70732367508081
3839.7,0.1379,2.2949,39.1398,616.1097,5.2965,8.5569,68.84166665334303
3839.8,0.1255,2.3079,39.8969,62290.7695,5.5439,8.5571,67.41866282513388
3839.9,0.1185,2.3222,39.037,62290.7695,5.8055,8.6384,66.38234507621664
3840.0,0.1081,2.3336,39.6577,62290.7695,6.0012,8.6628,66.22460414133792
3840.1,0.1016,2.3415,39.856,62290.7695,6.0411,8.6871,65.36497148563156
3840.2,0.097,2.3479,39.1489,62290.7695,5.8993,8.687,64.93460462402675
3840.3,0.1024,2.356,39.4548,62290.7695,5.6502,8.6381,64.86402755299765
3840.4,0.1,2.367,38.6641,62290.7695,5.4332,8.5569,64.24907339990555
3840.5,0.0971,2.3779,38.2191,62290.7695,5.3357,8.5569,63.928503520326686
3840.6,0.0939,2.3859,38.7177,62290.7695,5.3348,8.5569,63.928503520326686
3840.7,0.0911,2.3903,40.0922,62290.7695,5.348,8.5569,63.951867652421996
3840.8,0.0859,2.3925,39.9597,62290.7695,5.3143,8.557,63.851997290749665
3840.9,0.0847,2.3947,40.0752,62290.7695,5.2454,8.6056,63.22579406416369
3841.0,0.0876,2.3971,38.7996,62290.7695,5.197,8.5569,63.72832748983802
3841.1,0.0887,2.3995,40.0859,62290.7695,5.2265,8.5569,63.751489494163565
3841.2,0.0909,2.4014,39.2943,62290.7695,5.3329,8.5569,63.928503520326686
3841.3,0.0943,2.4026,39.4539,62290.7695,5.4588,8.5569,64.17092270957892
3841.4,0.0988,2.4022,38.9511,62290.7695,5.5384,8.5569,64.17092270957892
3841.5,0.1045,2.3992,38.7822,62290.7695,5.5524,8.5569,64.35555431143653
3841.6,0.1102,2.3938,38.562,62290.7695,5.525,8.5569,65.08563673553178
3841.7,0.1148,2.3876,38.9805,62290.7695,5.4979,8.5569,65.08563673553178
3841.8,0.118,2.3829,38.8134,62147.8281,5.4936,8.5569,65.3973626168091
3841.9,0.121,2.3823,40.0084,639.7541,5.5077,8.5569,66.04439205320577
3842.0,0.1255,2.3877,40.702,144.4814,5.5287,8.5569,64.75542577442974
3842.1,0.1315,2.3985,39.8577,88.5993,5.558,8.5569,65.00389044902934
3842.2,0.1377,2.4108,40.2944,61.0482,5.6131,8.5569,65.18374200773245
3842.3,0.1432,2.4195,42.7772,37.4452,5.7166,8.5569,66.23303261803596
3842.4,0.1486,2.422,43.8415,28.632,5.8613,8.5569,66.72502394756198
3842.5,0.1544,2.4189,44.761,17.4955,5.9863,8.557,68.4987624074563
3842.6,0.1562,2.4137,45.757,15.0827,6.0241,8.6057,69.21753394804978
3842.7,0.1612,2.4088,45.9189,13.6655,5.9615,8.6056,70.2973096714943
3842.8,0.1593,2.4057,44.7685,12.2473,5.8656,8.5569,70.63404074061806
3842.9,0.1549,2.4065,43.5523,12.0932,5.8371,8.5569,70.15789474775943
3843.0,0.1499,2.4144,43.996,12.0149,5.9022,8.5569,68.92166587057135
3843.1,0.1443,2.4311,44.187,12.3547,6.0258,8.5569,67.45852110818325
3843.2,0.138,2.4555,42.2482,12.3551,6.1577,8.5569,67.16336506017329
3843.3,0.1313,2.4844,43.4604,12.5146,6.2772,8.557,66.89039743317291
3843.4,0.1213,2.5124,40.4776,12.6566,6.385,8.5814,65.32999269562315
3843.5,0.1139,2.5354,39.5105,13.4383,6.4629,8.6058,64.12321930069801
3843.6,0.1039,2.5518,40.4664,14.9595,6.4928,8.6383,63.98086674104208
3843.7,0.0982,2.5639,40.0997,14.9965,6.4766,8.6382,63.98086674104208
3843.8,0.0943,2.5771,40.5277,14.2869,6.435,8.6056,63.98086674104208
3843.9,0.0885,2.5935,41.1816,14.3048,6.3951,8.5569,64.36086709412672
3844.0,0.084,2.6102,40.389,19.9119,6.3653,8.557,62.84031850907691
3844.1,0.0777,2.6222,40.5543,31.4087,6.3629,8.6057,62.259089425133254
3844.2,0.0756,2.6263,40.3082,44.6732,6.3954,8.6057,62.15026372028503
3844.3,0.0778,2.6236,40.6539,55.4748,6.4483,8.6056,62.15026372028503
3844.4,0.0782,2.617,40.9233,80.5531,6.4863,8.5569,61.91056380483247
3844.5,0.0792,2.6071,40.5339,136.8545,6.5063,8.5569,62.72648415454549
