DEPTH,NPHI,RHOB,GR,RT,PEF,CALI,DT,FM. LABEL
2616.3,0.138,2.535,40.732,4.595,7.179,8.578,63.612,HORDALAND GP. Top
2616.4,0.15,2.56,45.895,4.232,7.068,8.578,62.244,HORDALAND GP. Top
2616.5,0.188,2.56,56.418,3.341,6.996,8.578,62.409,HORDALAND GP. Top
2616.6,0.242,2.531,66.51,2.163,6.923,8.578,63.283,HORDALAND GP. Top
2616.7,0.295,2.483,72.817,1.277,6.804,8.578,64.982,HORDALAND GP. Top
2616.8,0.331,2.429,71.173,1.023,6.615,8.547,66.356,HORDALAND GP. Top
2616.9,0.346,2.379,65.841,0.906,6.39,8.547,68.078,HORDALAND GP. Top
2617.0,0.348,2.336,61.576,0.779,6.176,8.547,70.373,HORDALAND GP. Top
2617.1,0.344,2.296,55.87,0.66,6.0,8.562,72.629,HORDALAND GP. Top
2617.2,0.343,2.261,50.066,0.594,5.878,8.547,75.558,HORDALAND GP. Top
2617.3,0.335,2.236,47.983,0.55,5.803,8.547,79.751,HORDALAND GP. Top
2617.4,0.323,2.224,44.291,0.551,5.779,8.547,83.436,HORDALAND GP. Top
2617.5,0.312,2.226,41.597,0.552,5.797,8.547,87.213,HORDALAND GP. Top
2617.6,0.304,2.237,42.608,0.559,5.82,8.547,91.456,HORDALAND GP. Top
2617.7,0.3,2.257,45.231,0.618,5.808,8.547,94.427,HORDALAND GP. Top
2617.8,0.293,2.278,45.908,0.67,5.759,8.547,96.718,HORDALAND GP. Top
2617.9,0.288,2.297,46.724,0.696,5.751,8.547,98.077,HORDALAND GP. Top
2618.0,0.294,2.311,48.215,0.705,5.876,8.547,97.895,HORDALAND GP. Top
2618.1,0.315,2.32,55.312,0.736,6.159,8.547,96.893,HORDALAND GP. Top
2618.2,0.349,2.327,66.182,0.856,6.521,8.547,94.942,HORDALAND GP. Top
2618.3,0.381,2.336,75.193,0.971,6.823,8.547,92.709,HORDALAND GP. Top
2618.4,0.395,2.346,79.692,0.978,7.007,8.578,90.62,HORDALAND GP. Top
2618.5,0.385,2.355,77.524,0.91,7.067,8.578,90.009,HORDALAND GP. Top
2618.6,0.353,2.364,75.809,0.931,7.009,8.578,90.809,HORDALAND GP. Top
2618.7,0.307,2.373,70.8,1.017,6.839,8.578,92.767,HORDALAND GP. Top
2618.8,0.259,2.382,58.014,1.118,6.595,8.578,97.5,HORDALAND GP. Top
2618.9,0.229,2.392,47.596,1.366,6.349,8.625,101.559,HORDALAND GP. Top
2619.0,0.221,2.4,41.677,1.902,6.174,8.625,104.984,HORDALAND GP. Top
2619.1,0.242,2.401,40.76,1.94,6.124,8.672,105.994,HORDALAND GP. Top
2619.2,0.273,2.394,48.855,1.623,6.23,8.625,104.486,HORDALAND GP. Top
2619.3,0.291,2.384,56.212,1.138,6.522,8.578,100.801,HORDALAND GP. Top
2619.4,0.29,2.382,55.11,1.072,6.97,8.578,96.866,HORDALAND GP. Top
2619.5,0.285,2.399,50.181,1.378,7.42,8.578,93.867,HORDALAND GP. Top
2619.6,0.291,2.432,51.172,1.695,7.673,8.578,91.851,HORDALAND GP. Top
2619.7,0.317,2.461,58.972,1.362,7.631,8.578,93.944,HORDALAND GP. Top
2619.8,0.35,2.468,68.027,0.966,7.36,8.578,96.718,HORDALAND GP. Top
2619.9,0.37,2.448,73.652,0.716,7.008,8.578,100.163,HORDALAND GP. Top
2620.0,0.367,2.415,75.449,0.622,6.658,8.562,103.387,HORDALAND GP. Top
2620.1,0.341,2.383,69.968,0.632,6.308,8.547,105.68,HORDALAND GP. Top
2620.2,0.31,2.357,58.348,0.689,5.926,8.547,106.564,HORDALAND GP. Top
2620.3,0.288,2.328,47.029,0.641,5.553,8.547,106.143,HORDALAND GP. Top
2620.4,0.278,2.294,40.319,0.559,5.286,8.547,105.243,HORDALAND GP. Top
2620.5,0.279,2.259,38.072,0.472,5.192,8.547,103.805,HORDALAND GP. Top
2620.6,0.288,2.231,40.434,0.435,5.261,8.547,102.598,HORDALAND GP. Top
2620.7,0.304,2.217,46.777,0.447,5.438,8.547,101.884,HORDALAND GP. Top
2620.8,0.325,2.217,52.163,0.469,5.67,8.547,102.217,HORDALAND GP. Top
2620.9,0.35,2.227,60.08,0.486,5.923,8.578,103.339,HORDALAND GP. Top
2621.0,0.38,2.245,71.91,0.526,6.176,8.578,104.86,HORDALAND GP. Top
2621.1,0.416,2.268,82.056,0.565,6.435,8.578,106.885,HORDALAND GP. Top
2621.2,0.454,2.292,89.604,0.6,6.689,8.578,108.537,HORDALAND GP. Top
2621.3,0.483,2.311,88.595,0.608,6.884,8.578,109.957,HORDALAND GP. Top
2621.4,0.488,2.322,85.172,0.62,6.947,8.578,111.015,HORDALAND GP. Top
2621.5,0.466,2.322,81.593,0.616,6.849,8.578,111.546,HORDALAND GP. Top
2621.6,0.428,2.313,74.395,0.599,6.608,8.578,111.785,HORDALAND GP. Top
2621.7,0.39,2.294,62.138,0.556,6.31,8.578,111.803,HORDALAND GP. Top
2621.8,0.368,2.265,54.434,0.479,6.064,8.578,111.712,HORDALAND GP. Top
2621.9,0.366,2.232,52.844,0.428,5.987,8.578,111.562,HORDALAND GP. Top
2622.0,0.379,2.211,55.43,0.416,6.12,8.578,111.459,HORDALAND GP. Top
2622.1,0.398,2.214,62.671,0.448,6.406,8.578,111.487,HORDALAND GP. Top
2622.2,0.417,2.239,70.683,0.513,6.718,8.578,111.611,HORDALAND GP. Top
2622.3,0.432,2.272,78.678,0.551,6.933,8.578,111.794,HORDALAND GP. Top
2622.4,0.438,2.298,81.801,0.547,7.031,8.578,111.645,HORDALAND GP. Top
2622.5,0.434,2.311,79.606,0.541,7.076,8.578,111.209,HORDALAND GP. Top
2622.6,0.425,2.314,80.11,0.516,7.123,8.578,110.221,HORDALAND GP. Top
2622.7,0.424,2.311,81.418,0.49,7.165,8.578,108.841,HORDALAND GP. Top
2622.8,0.432,2.305,85.261,0.488,7.162,8.578,107.036,HORDALAND GP. Top
2622.9,0.441,2.299,87.627,0.487,7.076,8.578,105.88,HORDALAND GP. Top
2623.0,0.436,2.294,85.95,0.48,6.883,8.578,105.389,HORDALAND GP. Top
2623.1,0.418,2.289,77.93,0.454,6.6,8.578,105.721,HORDALAND GP. Top
2623.2,0.401,2.278,66.816,0.429,6.329,8.578,106.721,HORDALAND GP. Top
2623.3,0.392,2.261,62.803,0.436,6.19,8.547,107.674,HORDALAND GP. Top
2623.4,0.392,2.243,64.239,0.456,6.218,8.547,108.452,HORDALAND GP. Top
2623.5,0.398,2.234,68.86,0.453,6.333,8.578,108.282,HORDALAND GP. Top
2623.6,0.395,2.237,71.789,0.467,6.402,8.578,107.787,HORDALAND GP. Top
2623.7,0.372,2.247,71.482,0.487,6.296,8.578,106.947,HORDALAND GP. Top
2623.8,0.336,2.257,61.47,0.476,5.982,8.578,105.977,HORDALAND GP. Top
2623.9,0.306,2.259,44.982,0.423,5.574,8.547,104.723,HORDALAND GP. Top
2624.0,0.292,2.248,36.572,0.378,5.274,8.547,102.852,Ty Fm. Top
2624.1,0.295,2.228,35.212,0.371,5.214,8.547,100.535,Ty Fm. Top
2624.2,0.3,2.209,34.509,0.37,5.352,8.578,97.953,Ty Fm. Top
2624.3,0.301,2.198,33.868,0.369,5.532,8.578,94.969,Ty Fm. Top
2624.4,0.291,2.195,33.293,0.374,5.622,8.578,92.119,Ty Fm. Top
2624.5,0.273,2.197,31.031,0.374,5.575,8.578,89.368,Ty Fm. Top
2624.6,0.256,2.2,30.375,0.377,5.428,8.547,86.805,Ty Fm. Top
2624.7,0.242,2.204,28.675,0.38,5.239,8.547,84.734,Ty Fm. Top
2624.8,0.236,2.209,26.741,0.384,5.068,8.547,83.002,Ty Fm. Top
2624.9,0.238,2.215,24.465,0.383,4.95,8.547,81.845,Ty Fm. Top
2625.0,0.242,2.219,25.075,0.384,4.894,8.547,81.329,Ty Fm. Top
2625.1,0.244,2.223,26.103,0.387,4.886,8.547,81.238,Ty Fm. Top
2625.2,0.242,2.224,25.629,0.391,4.884,8.547,81.499,Ty Fm. Top
2625.3,0.24,2.226,25.885,0.392,4.873,8.547,82.054,Ty Fm. Top
2625.4,0.239,2.227,26.548,0.4,4.858,8.547,82.816,Ty Fm. Top
2625.5,0.238,2.226,28.074,0.399,4.846,8.547,83.46,Ty Fm. Top
2625.6,0.239,2.226,27.993,0.405,4.849,8.547,84.129,Ty Fm. Top
2625.7,0.239,2.226,26.69,0.405,4.858,8.547,84.816,Ty Fm. Top
2625.8,0.241,2.226,26.879,0.41,4.875,8.547,85.402,Ty Fm. Top
2625.9,0.242,2.228,27.966,0.407,4.897,8.547,85.995,Ty Fm. Top
2626.0,0.241,2.23,26.355,0.401,4.905,8.547,86.599,Ty Fm. Top
2626.1,0.238,2.232,25.49,0.4,4.897,8.547,87.043,Ty Fm. Top
