DEPTH,NPHI,RHOB,GR,RT,PEF,CALI,DT
4440.6,0.352,2.774,53.114,2.583,9.555,8.703,91.68590853106802
4440.7,0.356,2.794,51.934,3.038,9.71,8.75,88.59998156153166
4440.8,0.36,2.822,53.369,3.108,9.829,8.766,88.59998156153166
4440.9,0.362,2.856,52.922,2.723,10.0,8.75,88.59998156153166
4441.0,0.356,2.893,50.675,2.577,10.221,8.75,88.72673444556277
4441.1,0.35,2.933,46.822,2.551,10.421,8.703,91.82534626886503
4441.2,0.343,2.969,42.834,2.386,10.555,8.703,91.94216837864145
4441.3,0.34,2.994,40.585,2.685,10.611,8.703,91.94216837864145
4441.4,0.339,3.006,40.086,2.948,10.637,8.703,91.94216837864145
4441.5,0.336,3.007,38.464,3.139,10.647,8.727,90.46130835662068
4441.6,0.334,3.007,37.442,3.185,10.62,8.75,88.97359715997112
4441.7,0.33,3.013,38.162,3.057,10.541,8.766,88.97359715997112
4441.8,0.328,3.022,36.756,2.996,10.434,8.781,88.97359715997112
4441.9,0.328,3.024,37.663,3.133,10.382,8.75,88.97359715997112
4442.0,0.326,3.007,39.671,3.24,10.439,8.771,88.97359715997112
4442.1,0.331,2.98,41.669,3.42,10.589,8.75,88.97359715997112
4442.2,0.334,2.958,40.469,3.316,10.803,8.688,91.04878510173823
4442.3,0.334,2.954,38.83,3.094,11.005,8.703,91.94216837864145
4442.4,0.331,2.971,36.881,3.11,11.104,8.761,88.97359715997112
4442.5,0.336,2.992,36.834,3.299,11.09,8.781,88.97359715997112
4442.6,0.343,3.005,38.108,3.341,11.027,8.781,88.97359715997112
4442.7,0.349,3.006,39.055,3.371,11.011,8.813,88.97359715997112
4442.8,0.353,2.999,39.508,2.976,11.066,8.875,88.97359715997112
4442.9,0.351,2.991,40.356,2.77,11.132,8.929,88.97359715997112
4443.0,0.347,2.99,41.065,2.754,11.132,8.875,88.97359715997112
4443.1,0.345,3.001,39.166,2.72,11.059,8.781,88.97359715997112
4443.2,0.342,3.023,37.997,2.648,10.95,8.75,88.97359715997112
4443.3,0.348,3.051,37.912,2.645,10.843,8.693,91.04878510173823
4443.4,0.355,3.076,36.788,2.551,10.752,8.672,91.04878510173823
4443.5,0.362,3.09,34.126,2.464,10.693,8.683,88.63600658241405
4443.6,0.365,3.085,32.104,3.502,10.693,8.734,87.5412757264822
4443.7,0.366,3.063,31.867,2.912,10.764,8.703,89.09455916807653
4443.8,0.362,3.032,33.493,1.563,10.851,8.727,87.92898481134084
4443.9,0.362,3.008,34.644,2.358,10.863,8.75,86.53098370103781
4444.0,0.365,2.995,34.53,2.526,10.718,8.75,86.53098370103781
4444.1,0.367,2.981,35.883,2.169,10.434,8.771,87.48972375734172
4444.2,0.369,2.957,36.035,1.588,10.11,8.781,87.48972375734172
4444.3,0.369,2.925,37.027,1.678,9.85,8.76,88.97359715997112
4444.4,0.365,2.897,41.194,1.782,9.719,8.75,88.97359715997112
4444.5,0.36,2.878,43.029,2.048,9.67,8.75,88.97359715997112
4444.6,0.356,2.869,41.56,2.443,9.638,8.781,88.97359715997112
4444.7,0.361,2.863,41.024,2.406,9.586,8.75,88.97359715997112
4444.8,0.367,2.856,41.31,2.329,9.536,8.75,88.97359715997112
4444.9,0.372,2.847,42.128,2.222,9.48,8.75,88.97359715997112
4445.0,0.379,2.838,42.741,2.147,9.369,8.719,90.46130835662068
4445.1,0.378,2.83,41.294,2.089,9.162,8.75,88.97359715997112
4445.2,0.375,2.824,40.261,1.951,8.883,8.75,88.97359715997112
4445.3,0.366,2.814,43.066,1.838,8.641,8.75,88.97359715997112
4445.4,0.35,2.796,44.153,1.779,8.498,8.781,88.97359715997112
4445.5,0.337,2.764,45.651,1.748,8.429,8.781,88.97359715997112
4445.6,0.327,2.727,47.525,1.782,8.375,8.781,88.86695923088007
4445.7,0.318,2.695,47.805,1.953,8.272,8.781,91.00005313161506
4445.8,0.306,2.681,47.181,2.021,8.112,8.781,91.00005313161506
4445.9,0.292,2.684,46.708,1.97,7.927,8.781,88.50275374376217
4446.0,0.28,2.691,44.797,1.925,7.784,8.781,87.08905947684914
4446.1,0.274,2.687,43.146,1.764,7.722,8.75,87.39077724756118
4446.2,0.271,2.672,43.662,1.688,7.719,8.75,87.39077724756118
4446.3,0.268,2.656,44.424,1.776,7.685,8.75,87.39077724756118
4446.4,0.263,2.648,44.992,1.899,7.54,8.75,87.50735005767639
4446.5,0.257,2.644,45.527,1.821,7.29,8.761,87.50735005767639
4446.6,0.253,2.632,46.853,1.555,7.031,8.781,84.95808691475571
4446.7,0.256,2.61,46.899,1.654,6.867,8.704,88.23740143863287
4446.8,0.249,2.591,45.724,1.687,6.784,8.781,85.63416653552073
4446.9,0.246,2.587,46.321,1.775,6.701,8.781,85.53828096161658
4447.0,0.245,2.597,46.086,1.699,6.557,8.781,85.63416653552073
4447.1,0.249,2.605,47.984,1.685,6.382,8.729,85.85834247655225
4447.2,0.243,2.599,50.24,1.918,6.234,8.76,84.80887412539096
4447.3,0.241,2.586,49.442,1.954,6.121,8.76,83.29793488675509
4447.4,0.235,2.578,48.833,1.744,6.032,8.76,81.0368890107045
